date,今值,前值
1995-07-07,5.75,6.0
1995-12-20,5.5,5.75
1996-02-01,5.25,5.5
1997-03-26,5.5,5.25
1998-09-30,5.25,5.5
1998-10-16,5.0,5.25
1998-11-18,4.75,5.0
1999-07-01,5.0,4.75
1999-08-25,5.25,5.0
1999-11-17,5.5,5.25
2000-02-03,5.75,5.5
2000-03-22,6.0,5.75
2000-05-17,6.5,6.0
2001-01-04,6.0,6.5
2001-02-01,5.5,6.0
2001-03-21,5.0,5.5
2001-04-19,4.5,5.0
2001-05-16,4.0,4.5
2001-06-28,3.75,4.0
2001-08-22,3.5,3.75
2001-09-18,3.0,3.5
2001-10-03,2.5,3.0
2001-11-07,2.0,2.5
2001-12-12,1.75,2.0
2002-11-07,1.25,1.75
2003-06-26,1.0,1.25
2004-07-01,1.25,1.0
2004-08-11,1.5,1.25
2004-09-22,1.75,1.5
2004-11-11,2.0,1.75
2004-12-15,2.25,2.0
2005-02-03,2.5,2.25
2005-03-23,2.75,2.5
2005-05-04,3.0,2.75
2005-07-01,3.25,3.0
2005-08-10,3.5,3.25
2005-09-21,3.75,3.5
2005-11-02,4.0,3.75
2005-12-14,4.25,4.0
2006-02-01,4.5,4.25
2006-03-29,4.75,4.5
2006-05-11,5.0,4.75
2006-06-30,5.25,5.0
2007-09-19,4.75,5.25
2007-11-01,4.5,4.75
2007-12-12,4.25,4.5
2008-01-23,3.5,4.25
2008-01-31,3.0,3.5
2008-03-19,2.25,3.0
2008-05-01,2.0,2.25
2008-06-26,2.0,2.0
2008-08-06,2.0,2.0
2008-09-17,2.0,2.0
2008-10-08,1.5,2.0
2008-10-30,1.0,1.5
2008-12-17,0.25,1.0
2009-01-29,0.25,0.25
2009-03-19,0.25,0.25
2009-04-30,0.25,0.25
2009-06-25,0.25,0.25
2009-08-13,0.25,0.25
2009-09-24,0.25,0.25
2009-11-05,0.25,0.25
2009-12-17,0.25,0.25
2010-01-28,0.25,0.25
2010-03-17,0.25,0.25
2010-04-29,0.25,0.25
2010-06-24,0.25,0.25
2010-08-11,0.25,0.25
2010-09-22,0.25,0.25
2010-11-04,0.25,0.25
2010-12-15,0.25,0.25
2011-01-27,0.25,0.25
2011-03-16,0.25,0.25
2011-04-28,0.25,0.25
2011-06-23,0.25,0.25
2011-08-10,0.25,0.25
2011-09-22,0.25,0.25
2011-11-03,0.25,0.25
2011-12-14,0.25,0.25
2012-01-26,0.25,0.25
2012-03-14,0.25,0.25
2012-04-26,0.25,0.25
2012-06-21,0.25,0.25
2012-08-02,0.25,0.25
2012-09-14,0.25,0.25
2012-10-25,0.25,0.25
2012-12-13,0.25,0.25
2013-01-31,0.25,0.25
2013-03-21,0.25,0.25
2013-05-02,0.25,0.25
2013-06-20,0.25,0.25
2013-08-01,0.25,0.25
2013-09-19,0.25,0.25
2013-10-31,0.25,0.25
2013-12-19,0.25,0.25
2014-01-30,0.25,0.25
2014-03-20,0.25,0.25
2014-05-01,0.25,0.25
2014-06-19,0.25,0.25
2014-07-31,0.25,0.25
2014-09-18,0.25,0.25
2014-10-30,0.25,0.25
2014-12-18,0.25,0.25
2015-01-29,0.25,0.25
2015-03-19,0.25,0.25
2015-04-30,0.25,0.25
2015-06-18,0.25,0.25
2015-07-30,0.25,0.25
2015-09-18,0.25,0.25
2015-10-29,0.25,0.25
2015-12-17,0.5,0.25
2016-01-28,0.5,0.5
2016-03-17,0.5,0.5
2016-04-28,0.5,0.5
2016-06-16,0.5,0.5
2016-07-28,0.5,0.5
2016-09-22,0.5,0.5
2016-11-03,0.5,0.5
2016-12-15,0.75,0.5
2017-02-02,0.75,0.75
2017-03-16,1.0,0.75
2017-05-04,1.0,1.0
2017-06-15,1.25,1.0
2017-07-27,1.25,1.25
2017-09-21,1.25,1.25
2017-11-02,1.25,1.25
2017-12-14,1.5,1.25
2018-02-01,1.5,1.5
2018-03-22,1.75,1.5
2018-05-03,1.75,1.75
2018-06-14,2.0,1.75
2018-08-02,2.0,2.0
2018-09-27,2.25,2.0
2018-11-09,2.25,2.25
2018-12-20,2.5,2.25
2019-01-31,2.5,2.5
2019-03-21,2.5,2.5
2019-05-02,2.5,2.5
2019-06-20,2.5,2.5
2019-08-01,2.25,2.5
2019-09-19,2.0,2.25
2019-10-31,1.75,2.0
2019-12-12,1.75,1.75
2020-01-30,1.75,1.75
2020-03-03,1.25,1.75
2020-03-16,0.25,1.25
2020-04-30,0.25,0.25
2020-06-11,0.25,0.25
2020-07-30,0.25,0.25
2020-09-17,0.25,0.25
2020-11-06,0.25,0.25
2020-12-17,0.25,0.25
2021-01-28,0.25,0.25
2021-03-18,0.25,0.25
2021-04-29,0.25,0.25
2021-06-17,0.25,0.25
2021-07-29,0.25,0.25
2021-09-23,0.25,0.25
2021-11-04,0.25,0.25
2021-12-16,0.25,0.25
2022-01-27,0.25,0.25
2022-03-17,0.5,0.25
2022-05-05,1.0,0.5
2022-06-16,1.75,1.0
2022-07-28,2.5,1.75
2022-09-22,3.25,2.5
2022-11-03,4.0,3.25
2022-12-15,4.5,4.0
2023-02-02,4.75,4.5
2023-03-23,5.0,4.75
2023-05-04,5.25,5.0
2023-06-15,5.25,5.25
2023-07-27,5.5,5.25
2023-09-21,5.5,5.5
2023-11-02,5.5,5.5
2023-12-14,5.5,5.5
2024-02-01,5.5,5.5
2024-03-21,5.5,5.5
2024-05-02,5.5,5.5
2024-06-13,5.5,5.5
2024-08-01,5.5,5.5
2024-09-19,5.0,5.5
2024-11-08,4.75,5.0
2024-12-19,4.5,4.75
2025-01-30,4.5,4.5
2025-03-20,4.5,4.5
2025-05-08,4.5,4.5
2025-06-19,4.5,4.5
2025-07-31,4.5,4.5
