股票代码,股票名称,行业,收盘价,涨跌幅%,量比,走势类型,趋势强度,中枢位置,中枢上沿ZG,中枢下沿ZD,笔方向,线段方向,买点类型,买点置信度,卖点类型,卖点置信度,二买确认,二买置信度,双级确认买,双级确认卖,信号级别,买入强度,卖出强度,底背驰,顶背驰,均线排列,均线破位,量异常,笔趋势耗尽,综合评分,机会等级,风险等级,止损价
300206,理邦仪器,医药,13.86,-3.75,1.13,上涨趋势,0.65,中枢上,,,-,-,B3(三买),0.85,S2(二卖),0.5,,,是,,线段级,0.62,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,2.0042,A,高危,12.89
301360,荣旗科技,自动化/制造,89.59,-0.47,0.79,-,0.0,中枢上,,,-,-,B3(三买),0.783,-,,,,是,,线段级,0.607,,,,1.0,,,,1.9262,A,安全,83.32
600066,宇通客车,新能源车/风电,31.71,-3.29,1.0,盘整,0.3,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,1.8658,A,高危,29.49
001287,中电港,电子,28.3,-0.88,1.44,盘整,0.3,中枢上,,,-,-,B3(三买),0.85,-,,,,是,,线段级,0.62,,,,1.0,,,,1.8612,A,安全,26.32
002415,海康威视,通信/计算机,33.0,-0.36,1.12,盘整,0.3,中枢上,,,-,-,B3(三买),0.806,-,,,,是,,线段级,0.611,,,,1.0,"跌破MA10, 跌破MA20",,,1.8443,A,高危,30.69
001219,青岛食品,消费,14.26,-1.66,0.96,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,1.0,"跌破MA10, 跌破MA20, 跌破MA60",,,1.8089,A,高危,13.26
300427,红相股份,电力设备,10.58,0.09,0.65,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,0.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,1.4256,A,高危,9.84
301636,泽润新能,半导体/光伏,60.5,-1.63,0.94,盘整,0.3,中枢上,,,-,-,B3(三买),0.731,-,,,,是,,线段级,0.596,,,,0.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,1.409,A,高危,56.26
601555,东吴证券,金融,8.04,-1.71,0.78,-,0.0,中枢内,,,-,-,-,,-,,,,,,-,,,,,-1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,1.3006,A,高危,7.48
300010,豆神教育,传媒,2.75,2.23,1.29,盘整,0.3,中枢下,,,-,-,-,,-,,,,,,-,,,,,-1.0,"跌破MA5, 跌破MA10, 跌破MA20, 跌破MA60",,,0.8621,A,高危,2.56
000573,粤宏远Ａ,基建/地产/石油石化,4.64,3.34,1.48,盘整,0.3,中枢上,,,-,-,-,,-,,,,,,-,,,,,1.0,,,,0.6754,A,安全,4.32
