date,proceeds,pre_cutoff,rate_used,extra_tax,year
2021-04-14,3052.4445304870605,True,0.001,1.5262222652435302,2021
2021-04-14,12475.895862579346,True,0.001,6.237947931289673,2021
2021-04-15,12364.469467163086,True,0.001,6.182234733581543,2021
2021-04-16,3034.4625,True,0.001,1.51723125,2021
2021-04-16,12412.11388320923,True,0.001,6.206056941604615,2021
2021-04-22,3111.385545730591,True,0.001,1.5556927728652954,2021
2021-04-26,14823.162487792968,True,0.001,7.411581243896484,2021
2021-04-28,3209.2875,True,0.001,1.60464375,2021
2021-05-07,3256.240621948242,True,0.001,1.628120310974121,2021
2021-05-10,3166.3304695129395,True,0.001,1.5831652347564698,2021
2021-05-10,13027.959365844725,True,0.001,6.513979682922362,2021
2021-05-11,46123.8310289383,True,0.001,23.061915514469153,2021
2021-05-14,1435.5629885673522,True,0.001,0.7177814942836761,2021
2021-05-14,3193.30351524353,True,0.001,1.5966517576217651,2021
2021-05-14,13983.003121948244,True,0.001,6.991501560974123,2021
2021-05-17,1438.5599618911742,True,0.001,0.7192799809455871,2021
2021-05-17,3286.2105457305906,True,0.001,1.6431052728652953,2021
2021-05-17,14068.917182922363,True,0.001,7.034458591461182,2021
2021-05-20,1429.5690419197083,True,0.001,0.7147845209598541,2021
2021-05-21,3339.6570304870606,True,0.001,1.6698285152435304,2021
2021-05-24,1390.6080076217652,True,0.001,0.6953040038108826,2021
2021-05-24,3346.6500000000005,True,0.001,1.6733250000000004,2021
2021-05-25,1380.6179695129395,True,0.001,0.6903089847564697,2021
2021-05-26,1404.5940419197082,True,0.001,0.7022970209598541,2021
2021-06-02,1426.571973323822,True,0.001,0.713285986661911,2021
2021-06-02,5965.661133956909,True,0.001,2.9828305669784547,2021
2021-06-03,5792.365060043335,True,0.001,2.8961825300216675,2021
2021-06-03,3358.6378932952884,True,0.001,1.6793189466476444,2021
2021-06-04,1394.6040038108827,True,0.001,0.6973020019054413,2021
2021-06-07,1374.6240228652955,True,0.001,0.6873120114326478,2021
2021-06-07,6041.0956489563,True,0.001,3.02054782447815,2021
2021-06-08,17870.11229724884,True,0.001,8.93505614862442,2021
2021-06-08,12481.791297912598,True,0.001,6.240895648956299,2021
2021-06-08,9605.384771347046,True,0.001,4.802692385673523,2021
2021-06-09,1362.636034297943,True,0.001,0.6813180171489716,2021
2021-06-09,3202.7941371917727,True,0.001,1.6013970685958865,2021
2021-06-09,521.4779790401459,True,0.001,0.26073898952007296,2021
2021-06-09,56934.010509109496,True,0.001,28.46700525455475,2021
2021-06-10,5705.717023086548,True,0.001,2.852858511543274,2021
2021-06-10,3164.8320304870604,True,0.001,1.5824160152435303,2021
2021-06-11,3169.8269542694093,True,0.001,1.5849134771347047,2021
2021-06-16,5919.075,True,0.001,2.9595375,2021
2021-06-16,3177.818946647644,True,0.001,1.588909473323822,2021
2021-06-17,1313.6849618911742,True,0.001,0.6568424809455872,2021
2021-06-18,10605.384365844726,True,0.001,5.302692182922363,2021
2021-06-18,6043.236602783203,True,0.001,3.0216183013916016,2021
2021-06-18,3218.7781219482426,True,0.001,1.6093890609741213,2021
2021-06-18,10741.247759914399,True,0.001,5.3706238799572,2021
2021-06-21,1068.9299809455872,True,0.001,0.5344649904727936,2021
2021-06-22,1347.6509771347046,True,0.001,0.6738254885673524,2021
2021-06-22,6210.92572517395,True,0.001,3.105462862586975,2021
2021-06-22,62127.21184387207,True,0.001,31.063605921936038,2021
2021-06-23,3299.6968780517577,True,0.001,1.649848439025879,2021
2021-06-24,1357.6410152435303,True,0.001,0.6788205076217652,2021
2021-06-24,521.4779790401459,True,0.001,0.26073898952007296,2021
2021-06-25,6895.097664642334,True,0.001,3.447548832321167,2021
2021-06-28,6231.619198608399,True,0.001,3.115809599304199,2021
2021-06-28,526.4729980945586,True,0.001,0.2632364990472793,2021
2021-06-29,6188.091297912597,True,0.001,3.0940456489562984,2021
2021-06-29,4086.409568595886,True,0.001,2.043204784297943,2021
2021-06-29,3182.813965702057,True,0.001,1.5914069828510284,2021
2021-06-30,1380.6179695129395,True,0.001,0.6903089847564697,2021
2021-06-30,859.1400381088256,True,0.001,0.42957001905441283,2021
2021-06-30,1377.1214847564697,True,0.001,0.6885607423782348,2021
2021-07-01,1388.6099618911744,True,0.001,0.6943049809455872,2021
2021-07-01,65498.43346195221,True,0.001,32.74921673097611,2021
2021-07-02,1346.1525381088256,True,0.001,0.6730762690544129,2021
2021-07-02,573.4259771347046,True,0.001,0.2867129885673523,2021
2021-07-05,1391.6070304870605,True,0.001,0.6958035152435302,2021
2021-07-05,48515.434986305234,True,0.001,24.25771749315262,2021
2021-07-06,1375.6230457305908,True,0.001,0.6878115228652955,2021
2021-07-07,53540.904230976106,True,0.001,26.770452115488055,2021
2021-07-12,2448.5490228652952,True,0.001,1.2242745114326476,2021
2021-07-13,2491.5060533523556,True,0.001,1.2457530266761778,2021
2021-07-14,74078.84611587525,True,0.001,37.039423057937626,2021
2021-07-15,1354.6440419197083,True,0.001,0.6773220209598542,2021
2021-07-16,14122.862512207033,True,0.001,7.061431256103517,2021
2021-07-20,5398.5960914611815,True,0.001,2.6992980457305906,2021
2021-07-20,13873.112512207032,True,0.001,6.936556256103516,2021
2021-07-21,724.275,True,0.001,0.3621375,2021
2021-07-21,4465.48091583252,True,0.001,2.2327404579162597,2021
2021-07-22,4782.896946716309,True,0.001,2.3914484733581545,2021
2021-07-23,1325.6730457305907,True,0.001,0.6628365228652954,2021
2021-07-23,14706.279670715332,True,0.001,7.353139835357666,2021
2021-07-23,4608.195038223267,True,0.001,2.3040975191116337,2021
2021-07-26,14988.995329284668,True,0.001,7.494497664642334,2021
2021-07-27,15592.392182922364,True,0.001,7.796196091461182,2021
2021-07-27,57238.76183395385,True,0.001,28.619380916976926,2021
2021-07-28,1199.7990228652955,True,0.001,0.5998995114326477,2021
2021-07-28,672.3270019054413,True,0.001,0.3361635009527207,2021
2021-07-29,1199.7990228652955,True,0.001,0.5998995114326477,2021
2021-07-29,644.3549809455872,True,0.001,0.3221774904727936,2021
2021-07-30,1162.8360342979431,True,0.001,0.5814180171489716,2021
2021-07-30,660.339013338089,True,0.001,0.3301695066690445,2021
2021-08-02,1189.8089847564697,True,0.001,0.5949044923782348,2021
2021-08-04,678.3209961891174,True,0.001,0.3391604980945587,2021
2021-08-06,668.3310057163238,True,0.001,0.33416550285816193,2021
2021-08-09,1250.7480457305908,True,0.001,0.6253740228652954,2021
2021-08-09,678.3209961891174,True,0.001,0.3391604980945587,2021
2021-08-10,10532.556970882417,True,0.001,5.266278485441209,2021
2021-08-10,12657.330076217651,True,0.001,6.328665038108825,2021
2021-08-10,9933.874464797975,True,0.001,4.966937232398988,2021
2021-08-10,15010.973832321166,True,0.001,7.505486916160583,2021
2021-08-11,3352.104135131836,True,0.001,1.676052067565918,2021
2021-08-11,2986.010939025879,True,0.001,1.4930054695129396,2021
2021-08-12,1501.4969733238222,True,0.001,0.7507484866619111,2021
2021-08-13,338.7609032392502,True,0.001,0.1693804516196251,2021
2021-08-13,667.3319828510284,True,0.001,0.33366599142551423,2021
2021-08-13,815.7834365844726,True,0.001,0.4078917182922363,2021
2021-08-13,3068.082677650452,True,0.001,1.5340413388252259,2021
2021-08-16,3080.612668991089,True,0.001,1.5403063344955445,2021
2021-08-16,656.3430171489715,True,0.001,0.32817150857448574,2021
2021-08-16,3030.4281091690063,True,0.001,1.5152140545845032,2021
2021-08-17,337.7619041919708,True,0.001,0.16888095209598541,2021
2021-08-17,645.3540038108825,True,0.001,0.3226770019054413,2021
2021-08-17,733.2660152435302,True,0.001,0.3666330076217651,2021
2021-08-18,3035.0684303283692,True,0.001,1.5175342151641846,2021
2021-08-18,1426.571973323822,True,0.001,0.713285986661911,2021
2021-08-18,635.364013338089,True,0.001,0.3176820066690445,2021
2021-08-18,769.2299809455872,True,0.001,0.38461499047279357,2021
2021-08-18,3806.097624206543,True,0.001,1.9030488121032716,2021
2021-08-18,2718.2789085388185,True,0.001,1.3591394542694093,2021
2021-08-19,2995.4388719558715,True,0.001,1.4977194359779358,2021
2021-08-19,1419.5790038108826,True,0.001,0.7097895019054413,2021
2021-08-19,3731.55714225769,True,0.001,1.865778571128845,2021
2021-08-20,6550.3430529356,True,0.001,3.2751715264678003,2021
2021-08-20,7534.457817077637,True,0.001,3.7672289085388186,2021
2021-08-20,5728.258393478393,True,0.001,2.8641291967391966,2021
2021-08-20,2807.1900381088253,True,0.001,1.4035950190544126,2021
2021-08-20,11244.743946647643,True,0.001,5.622371973323822,2021
2021-08-20,3727.7146293640135,True,0.001,1.8638573146820068,2021
2021-08-20,3904.091992378235,True,0.001,1.9520459961891174,2021
2021-08-20,2763.23398475647,True,0.001,1.3816169923782349,2021
2021-08-23,360.73890609741215,True,0.001,0.18036945304870608,2021
2021-08-23,2745.8323516845703,True,0.001,1.3729161758422852,2021
2021-08-23,1361.6370114326478,True,0.001,0.680818505716324,2021
2021-08-23,623.3759771347046,True,0.001,0.3116879885673523,2021
2021-08-23,656.7425881862641,True,0.001,0.3283712940931321,2021
2021-08-23,1149.9488679885865,True,0.001,0.5749744339942933,2021
2021-08-23,2687.3099618911747,True,0.001,1.3436549809455873,2021
2021-08-24,2704.4284463882445,True,0.001,1.3522142231941223,2021
2021-08-24,1373.625,True,0.001,0.6868125,2021
2021-08-24,3692.3656448364254,True,0.001,1.8461828224182129,2021
2021-08-24,787.8114156246185,True,0.001,0.3939057078123092,2021
2021-08-24,651.7476167678833,True,0.001,0.32587380838394164,2021
2021-08-24,2752.244923782349,True,0.001,1.3761224618911745,2021
2021-08-25,1232.7660152435303,True,0.001,0.6163830076217651,2021
2021-08-25,1173.825,True,0.001,0.5869125000000001,2021
2021-08-25,2886.6057821273803,True,0.001,1.4433028910636903,2021
2021-08-25,786.8123927593231,True,0.001,0.39340619637966157,2021
2021-08-25,675.7235939025879,True,0.001,0.337861796951294,2021
2021-08-26,739.2600095272064,True,0.001,0.3696300047636032,2021
2021-08-26,1184.813965702057,True,0.001,0.5924069828510286,2021
2021-08-26,2968.230504226685,True,0.001,1.4841152521133425,2021
2021-08-26,1365.633007621765,True,0.001,0.6828165038108825,2021
2021-08-27,348.75089371204376,True,0.001,0.17437544685602188,2021
2021-08-27,724.275,True,0.001,0.3621375,2021
2021-08-30,344.75489752292634,True,0.001,0.1723774487614632,2021
2021-08-30,2845.1519542694095,True,0.001,1.4225759771347048,2021
2021-08-30,716.2830076217651,True,0.001,0.35814150381088256,2021
2021-08-30,1170.8280266761778,True,0.001,0.585414013338089,2021
2021-08-30,1292.7059580802916,True,0.001,0.6463529790401458,2021
2021-08-30,643.3560057163238,True,0.001,0.3216780028581619,2021
2021-08-30,688.7106053352355,True,0.001,0.34435530266761777,2021
2021-08-30,1096.0028717994692,True,0.001,0.5480014358997346,2021
2021-08-31,4468.826680183411,True,0.001,2.2344133400917054,2021
2021-08-31,2874.1230457305905,True,0.001,1.4370615228652952,2021
2021-08-31,2825.1720685958862,True,0.001,1.412586034297943,2021
2021-08-31,4643.351954269409,True,0.001,2.3216759771347046,2021
2021-08-31,2355.641992378235,True,0.001,1.1778209961891175,2021
2021-08-31,1397.6009771347046,True,0.001,0.6988004885673523,2021
2021-08-31,3836.1600571632384,True,0.001,1.9180800285816193,2021
2021-08-31,7192.8,True,0.001,3.5964,2021
2021-08-31,2336.4612011432646,True,0.001,1.1682306005716323,2021
2021-09-01,348.75089371204376,True,0.001,0.17437544685602188,2021
2021-09-01,789.2100095272065,True,0.001,0.3946050047636032,2021
2021-09-01,657.3419923782349,True,0.001,0.32867099618911744,2021
2021-09-01,777.8213775157928,True,0.001,0.3889106887578964,2021
2021-09-01,529.9694828510284,True,0.001,0.2649847414255142,2021
2021-09-02,358.7409080028534,True,0.001,0.1793704540014267,2021
2021-09-02,1191.8070304870605,True,0.001,0.5959035152435302,2021
2021-09-02,2964.033007621765,True,0.001,1.4820165038108826,2021
2021-09-03,8265.725977134705,True,0.001,4.132862988567353,2021
2021-09-03,711.2879885673524,True,0.001,0.3556439942836762,2021
2021-09-03,698.7005958080291,True,0.001,0.34935029790401456,2021
2021-09-03,528.9705076217651,True,0.001,0.26448525381088256,2021
2021-09-03,1100.9978908538817,True,0.001,0.5504989454269409,2021
2021-09-06,734.2649904727936,True,0.001,0.3671324952363968,2021
2021-09-06,1190.808007621765,True,0.001,0.5954040038108825,2021
2021-09-06,636.3629885673522,True,0.001,0.3181814942836761,2021
2021-09-06,695.7036224842071,True,0.001,0.34785181124210357,2021
2021-09-06,539.9595209598541,True,0.001,0.26997976047992706,2021
2021-09-06,3015.981053352356,True,0.001,1.507990526676178,2021
