date,code,value,amount,ratio,yr
2021-04-12,300725,63157.89472280703,390771557.0,0.00016162357160198082,2021
2021-04-12,300012,26842.105257192972,707952390.0,3.791512767856179e-05,2021
2021-05-06,300588,45140.0506784085,29532411.0,0.0015284918890776816,2021
2021-05-06,002262,45140.0506784085,122934237.0,0.0003671886024591221,2021
2021-05-27,002568,75559.32636256705,532182213.0,0.00014198017993992417,2021
2021-06-07,603393,57318.76243921317,89829807.0,0.0006380817721139395,2021
2021-06-07,600769,57318.76243921317,53135123.0,0.0010787358568684065,2021
2021-06-17,300503,58472.966531872815,41990299.00000001,0.0013925351313138494,2021
2021-06-17,002866,58472.966531872815,68301527.0,0.0008561004284995387,2021
2021-06-28,002318,67748.1034113008,232229929.0,0.00029172856273534324,2021
2021-07-08,603267,77103.7235880161,895863272.0,8.606639651147135e-05,2021
2021-07-08,603681,77103.7235880161,57153524.0,0.0013490633331378849,2021
2021-07-19,688388,73668.89377072771,1223538059.0,6.020972803325581e-05,2021
2021-07-19,300446,71866.02630528084,22552945.0,0.0031865473136781404,2021
2021-07-29,300015,45679.97949812467,3394273172.0,1.3457956146531587e-05,2021
2021-07-29,000607,45679.97949812467,8322203.0,0.005488928772600796,2021
2021-08-09,600211,18449.711383752838,261130175.00000003,7.065331068595514e-05,2021
2021-08-09,603896,8948.11002112011,35727263.0,0.0002504560738705372,2021
2021-08-09,600513,18241.11329254499,22241255.000000004,0.0008201476621955455,2021
2021-08-09,688177,17658.95010235738,80349691.0,0.000219776204271369,2021
2021-08-09,300281,17076.786912169773,58516953.0,0.0002918263176172172,2021
2021-08-09,300049,15682.254676189921,225595687.0,6.951486921019869e-05,2021
2021-08-19,601003,19626.85052877,92934149.0,0.00021119094261862773,2021
2021-08-19,000963,19038.04501290691,1932420557.0,9.851916004486446e-06,2021
2021-08-19,000989,17860.433981180722,166792281.0,0.00010708189775988927,2021
2021-08-19,002755,17271.628465317615,19111414.0,0.0009037336779642582,2021
2021-08-19,603367,8341.41147472724,35968217.0,0.00023191061916489326,2021
2021-08-30,688177,19415.12541770209,89221668.0,0.00021760549710527817,2021
2021-08-30,600062,18214.189824854533,44021330.00000001,0.00041375828092550884,2021
2021-08-30,601007,14645.117194619223,15634427.0,0.0009367223496338703,2021
2021-08-30,600257,14145.85183571175,282059388.00000006,5.0152033357286257e-05,2021
2021-09-09,000708,72054.77302198263,647346888.0,0.00011130782329795124,2021
2021-09-22,002208,64890.93390433492,98146134.0,0.0006611664796122781,2021
2021-09-22,600036,64890.93390433492,5492053805.0,1.1815422100427678e-05,2021
2021-10-08,603386,23012.49287593675,40505177.0,0.0005681370772910522,2021
2021-10-08,600226,22322.118089658627,106250170.0,0.0002100901870524878,2021
2021-10-08,600201,28698.195685007235,322043432.0,8.911281160675009e-05,2021
2021-10-08,300819,20941.368517102426,41528138.00000001,0.0005042693827761414,2021
2021-10-08,002027,26866.395960432317,1743286278.9999998,1.5411350553303083e-05,2021
2021-10-08,300482,25950.496098144846,306381879.0,8.469983989537726e-05,2021
